round,position,whos_turn,hole1,hole2,flop1,flop2,flop3,turn,river,pot_bb,to_call_bb,hero_stack_bb,opp_stack_bb,effective_stack_bb,spr,raise_to_bb,bet_frac_of_pot,bet_frac_of_pot_clipped,is_allin,action,p_fold,p_check_call,p_raise_s,p_raise_m,p_raise_l,model_class
preflop,SB,villain,6c,Qs,,,,,,102.0,0.0,50.0,48.0,48.0,0.47058823529411764,2.0,0.0196078431372549,0.0196078431372549,0.0,raise,,,,,,
preflop,BB,hero,Ad,Td,,,,,,104.0,2.0,48.0,48.0,48.0,0.46153846153846156,0.0,0.0,0.0,0.0,call,0.0,1.0,0.0,0.0,0.0,check_call
preflop,SB,villain,6c,Qs,,,,,,106.0,0.0,48.0,46.0,46.0,0.4339622641509434,2.0,0.018867924528301886,0.018867924528301886,0.0,raise,,,,,,
preflop,BB,hero,Ad,Td,,,,,,108.0,2.0,46.0,46.0,46.0,0.42592592592592593,0.0,0.0,0.0,0.0,call,0.0,1.0,0.0,0.0,0.0,check_call
preflop,SB,villain,6c,Qs,,,,,,110.0,0.0,46.0,44.0,44.0,0.4,2.0,0.01818181818181818,0.01818181818181818,0.0,raise,,,,,,
preflop,BB,hero,Ad,Td,,,,,,112.0,2.0,44.0,44.0,44.0,0.39285714285714285,0.0,0.0,0.0,0.0,call,0.0,1.0,0.0,0.0,0.0,check_call
preflop,SB,villain,6c,Qs,,,,,,114.0,0.0,44.0,42.0,42.0,0.3684210526315789,2.0,0.017543859649122806,0.017543859649122806,0.0,raise,,,,,,
preflop,BB,hero,Ad,Td,,,,,,116.0,2.0,42.0,42.0,42.0,0.3620689655172414,0.0,0.0,0.0,0.0,call,0.0,1.0,0.0,0.0,0.0,check_call
preflop,SB,villain,6c,Qs,,,,,,118.0,0.0,42.0,40.0,40.0,0.3389830508474576,2.0,0.01694915254237288,0.01694915254237288,0.0,raise,,,,,,
preflop,BB,hero,Ad,Td,,,,,,120.0,2.0,40.0,40.0,40.0,0.3333333333333333,0.0,0.0,0.0,0.0,call,0.0,1.0,0.0,0.0,0.0,check_call
preflop,SB,villain,6c,Qs,,,,,,122.0,0.0,40.0,38.0,38.0,0.3114754098360656,2.0,0.01639344262295082,0.01639344262295082,0.0,raise,,,,,,
preflop,BB,hero,Ad,Td,,,,,,124.0,2.0,38.0,38.0,38.0,0.3064516129032258,0.0,0.0,0.0,0.0,call,0.0,1.0,6.0255833965967134e-43,0.0,0.0,check_call
preflop,SB,villain,6c,Qs,,,,,,126.0,0.0,38.0,36.0,36.0,0.2857142857142857,2.0,0.015873015873015872,0.015873015873015872,0.0,raise,,,,,,
preflop,BB,hero,Ad,Td,,,,,,128.0,2.0,36.0,36.0,36.0,0.28125,0.0,0.0,0.0,0.0,call,0.0,1.0,7.317560671055614e-36,0.0,0.0,check_call
preflop,SB,villain,6c,Qs,,,,,,130.0,0.0,36.0,34.0,34.0,0.26153846153846155,2.0,0.015384615384615385,0.015384615384615385,0.0,raise,,,,,,
preflop,BB,hero,Ad,Td,,,,,,132.0,2.0,34.0,34.0,34.0,0.25757575757575757,0.0,0.0,0.0,0.0,call,0.0,1.0,5.527395994741639e-30,0.0,0.0,check_call
